,Name,Effect,Type
696,「天選之人」,如我方場上有角色卡或領袖卡名字為特朗普，對方場上的SP卡和HELP卡效果變為無效,sp
140,Deep State,對方場上的SP卡或HELP卡效果變為無效,help
141,Make America Great Again,對方場上一張角色卡，原能力值變成 0,help
143B,doge 全員集合,我方場上全部擁有Doge特徵的角色卡，原能力值 +40,help
145,「解放日」,對方角色卡登場效果變為無效,help
158,減息周期,我方場上全部角色卡，原能力值 +30,sp
256,加息周期,對方場上全部角色卡，原能力值 -30,sp
318,失智老人,可在上、左、右區域打出任何類型的角色卡。我方場上全部角色卡，能力值再 +20。這張卡的效果不能被無效化,help
690,You have no card,如對方擁有4張手牌以上，隨機選出兩張廢棄,help
159,關稅掃射,場上全部自由類型或經濟類型的角色卡，原能力值 -50,sp
160,拜登退選,對方不能打出HELP卡,help
162,破頂,我方場上全部自由類型或經濟類型的角色卡，原能力值 +30,sp
163,破低,對方場上全部自由類型或經濟類型的角色卡，原能力值 -30,help
266,bitcoin 真香,我方抽2張卡,help
267,加洲大火,對方的HELP卡效果變為無效,help
268,海湖莊園,當此卡登場時，從自己的卡組上面查看5張卡片，選出一張角色卡加到手牌，其餘放到卡組底部,help
298,美債危機,對方的SP卡效果變為無效，在SP回合對方必須打出SP卡,help
299,TikTok下架,我方場上全部擁有平民特徵的角色卡，原能力值 +30,help
166,DeepSeek風暴,在總能力結算後，對方的總能力值 -80,sp
167,聯邦大法官,對方場上一張擁有特朗普家族特徵的角色卡，原能力值 -60,help
170,天才法案,我方場上全部經濟類型的角色卡，原能力值 +50,help
171,No King Day (無國王日),對方場上全部擁有特朗普家族特徵的角色卡，原能力值 -30,sp
262,反特斯拉示威(Tesla Takedown),"對方場上全部擁有Doge特徵的角色卡，原能力值 -40
如對方領袖卡是馬斯克，特殊組合的加乘變成 0",sp
263,國會山莊騷亂,如對方場上有角色卡或領袖卡名字為特朗普，特殊組合的加乘變成 0,sp
264,民主黨集結,我方場上全部左翼類型的角色卡，原能力值 +30,sp